City_ID,City,Country,Max Temp,Current Description,Latitude,Longitude,Hotel Name
357,Gorno-Altaysk,RU,47.93,light rain,51.96,85.95,"Otel' "" Ryzhiy Pos"""
359,Mariehamn,AX,46.26,clear sky,60.1,19.93,Park Alandia Hotel
362,Clonakilty,IE,53.1,overcast clouds,51.62,-8.87,Inchydoney Island Lodge & Spa
368,Muyezerskiy,RU,42.71,clear sky,63.93,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
369,Maniitsoq,GL,43.93,clear sky,65.42,-52.9,Hotel Heilmann Lyberth
370,Winburg,ZA,42.64,clear sky,-28.52,27.01,Hotel Winburg
374,Moose Factory,CA,51.8,overcast clouds,51.26,-80.61,Cree Village Eco Lodge
375,Örnsköldsvik,SE,40.01,clear sky,63.29,18.72,ファーストホテル スタット
376,Coquimbo,CL,53.33,clear sky,-29.95,-71.34,Hotel San Juan
381,Vestmanna,FO,49.12,overcast clouds,62.16,-7.17,Vestmanna Camping
382,Torfyanoy,RU,52.7,few clouds,58.49,49.2,Baza Otdykha Klovoye Mesto
385,Chornobay,UA,52.9,clear sky,49.67,32.32,Veselka
392,Luangwa,ZM,57.83,clear sky,-15.62,30.42,Gerasimos Safari Lodge
394,Port Hawkesbury,CA,51.62,overcast clouds,45.62,-61.35,MacKenzie House Tourist Home B&B
395,Kerman,IR,57.06,clear sky,30.28,57.08,Kerman Hotel
398,Terrace Bay,CA,48.54,few clouds,48.78,-87.1,Drifters Motel & Restaurant
401,Havre-St-Pierre,CA,48.56,overcast clouds,50.23,-63.6,Auberge Niapiskau
404,Ostër,UA,50.79,clear sky,50.95,30.88,Подвал О-Сану
406,Myronivka,UA,51.85,clear sky,49.66,30.98,Petryky Dim Myronivka
416,Alta Gracia,AR,54.88,light rain,-31.65,-64.43,Hotel Ritz
421,Colesberg,ZA,47.23,clear sky,-30.72,25.1,Bhelekazi Guesthouse
423,Naryan-Mar,RU,55.36,scattered clouds,67.67,53.09,Hostel Agat
428,Novocheboksarsk,RU,57.76,light rain,56.11,47.48,"Salampi, sanatorium"
433,Telêmaco Borba,BR,56.35,few clouds,-24.32,-50.62,Vespasiano Hotel Telêmaco Borba
437,Şuhut,TR,57.76,clear sky,38.53,30.55,Suhut Ogretmenevi ve Aksam Sanat Okulu
444,Viedma,AR,53.92,light rain,-40.81,-63.0,Hotel Cristal
445,Venado Tuerto,AR,48.76,clear sky,-33.75,-61.97,La Bianca.
449,Departamento de Maldonado,UY,49.39,overcast clouds,-34.67,-54.92,La Cimarrona
