,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Inta,RU,66.03,60.17,50.77,46,100,3.69,overcast clouds
161,Comodoro Rivadavia,AR,-45.87,-67.50,53.46,32,0,20.71,clear sky
162,Lebu,CL,-37.62,-73.65,50.92,88,100,4.12,overcast clouds
163,Karjat,IN,18.92,73.33,82.09,75,100,0.58,overcast clouds
164,Okakarara,NA,-20.58,17.43,43.02,69,85,5.14,overcast clouds
165,Dingle,PH,11.00,122.67,85.37,68,100,4.14,overcast clouds
166,Pachino,IT,36.72,15.09,76.05,58,15,6.44,few clouds
167,Lafiagi,NG,8.87,5.42,74.41,79,83,0.85,broken clouds
168,Dudinka,RU,69.41,86.18,31.62,54,7,6.35,clear sky
169,Vardø,NO,70.37,31.11,44.58,81,100,20.71,overcast clouds
170,Kaabong,UG,3.48,34.15,63.91,61,99,1.77,overcast clouds
171,Ponta do Sol,PT,32.67,-17.10,63.72,76,51,0.47,broken clouds
172,Havøysund,NO,71.00,24.66,44.83,87,81,27.4,broken clouds
173,Pişchia,RO,45.90,21.34,63.73,90,0,9.22,clear sky
174,Castro Alves,BR,-12.77,-39.43,64.62,74,40,6.91,scattered clouds
175,Zaysan,KZ,47.47,84.87,52.02,54,100,5.75,overcast clouds
176,Puerto Madryn,AR,-42.77,-65.04,54.1,59,100,18.79,overcast clouds
177,Paramonga,PE,-10.67,-77.83,64.35,89,99,13.44,overcast clouds
178,Ancud,CL,-41.87,-73.82,49.06,93,100,28.03,heavy intensity rain
179,Keti Bandar,PK,24.14,67.45,81.72,79,7,16.04,clear sky
180,São João da Barra,BR,-21.64,-41.05,67.82,61,6,8.97,clear sky
181,Raudeberg,NO,61.99,5.14,45.27,91,17,11.16,few clouds
182,Onverwacht,SR,5.58,-55.18,75.85,100,40,2.3,scattered clouds
183,Alta Floresta,BR,-9.88,-56.09,71.51,70,4,3.87,clear sky
184,Shalya,RU,57.25,58.73,51.01,87,100,5.79,overcast clouds
185,Bambous Virieux,MU,-20.34,57.76,71.85,83,40,2.3,light rain
186,Mto wa Mbu,TZ,-3.35,35.85,63.73,89,93,2.82,overcast clouds
187,Adrar,MR,20.50,-10.07,88.93,13,97,18.05,overcast clouds
188,Ouésso,CG,1.61,16.05,70.32,96,100,1.05,light rain
189,Caravelas,BR,-17.71,-39.25,70.5,70,99,8.81,overcast clouds
190,Lima,PE,-12.04,-77.03,63.9,82,0,9.22,clear sky
191,São Sebastião,BR,-23.76,-45.41,67.19,85,80,8.34,broken clouds
192,Bayjī,IQ,34.93,43.49,90.0,16,88,7.56,overcast clouds
193,Şabyā,SA,17.15,42.63,85.62,75,0,3.33,clear sky
194,Beberibe,BR,-4.18,-38.13,74.28,93,99,9.57,overcast clouds
195,Kudahuvadhoo,MV,2.67,72.89,82.76,72,100,10.38,overcast clouds
196,Zelenoborskiy,RU,66.84,32.36,46.18,86,29,4.76,scattered clouds
197,Khor,RU,47.89,134.95,65.48,52,0,3.78,clear sky
198,Malabo,GQ,3.75,8.78,77.61,85,100,5.48,light rain
199,Noyabrsk,RU,63.20,75.45,39.06,49,100,3.83,overcast clouds
200,Sur,OM,22.57,59.53,87.01,49,0,8.28,clear sky
201,Boddam,GB,57.47,-1.78,48.58,87,82,1.57,broken clouds
202,Skjervøy,NO,70.03,20.97,46.4,80,97,22.17,overcast clouds
203,São Félix do Xingu,BR,-6.64,-51.99,69.89,97,13,0.83,few clouds
204,Juradó,CO,7.11,-77.76,77.45,91,100,3.58,moderate rain
205,Anamur,TR,36.08,32.84,72.68,80,5,5.75,clear sky
206,Somerset East,ZA,-32.72,25.59,51.75,51,1,7.0,clear sky
207,Nortelândia,BR,-14.45,-56.80,75.13,48,31,4.47,scattered clouds
208,Yar-Sale,RU,66.83,70.83,41.04,52,100,3.71,overcast clouds
209,Parrita,CR,9.52,-84.32,76.08,91,100,5.95,overcast clouds
210,Bonthe,SL,7.53,-12.51,77.23,88,100,6.73,light rain
211,Umm Kaddadah,SD,13.60,26.69,80.73,17,80,0.98,broken clouds
212,Breves,BR,-1.68,-50.48,72.45,97,100,3.13,moderate rain
213,Salinópolis,BR,-0.61,-47.36,77.81,86,100,8.61,overcast clouds
214,Bilma,NE,18.69,12.92,86.95,32,100,11.39,overcast clouds
215,Najrān,SA,17.49,44.13,70.45,18,0,4.94,clear sky
216,Mabaruma,GY,8.20,-59.78,71.38,99,100,2.55,overcast clouds
217,Oistins,BB,13.07,-59.53,80.69,89,40,16.11,scattered clouds
218,Āsosa,ET,10.07,34.53,62.49,83,100,4.83,overcast clouds
219,São Filipe,CV,14.90,-24.50,75.6,74,2,15.12,clear sky
220,Polonnaruwa,LK,7.93,81.00,82.54,62,100,9.6,overcast clouds
221,Bandarbeyla,SO,9.49,50.81,78.69,79,35,21.85,scattered clouds
222,Pokhara,NP,28.23,83.98,80.38,56,44,3.67,scattered clouds
223,Vredendal,ZA,-31.67,18.50,63.25,26,0,9.28,clear sky
224,Chipinge,ZW,-20.19,32.62,49.24,95,46,3.83,scattered clouds
225,Karasjok,NO,69.47,25.51,43.57,74,51,9.4,broken clouds
226,São Miguel do Araguaia,BR,-13.28,-50.16,72.46,44,3,1.66,clear sky
227,Salamanca,ES,40.83,-6.00,54.0,69,8,2.42,clear sky
228,Cockburn Town,TC,21.46,-71.14,80.96,87,100,11.01,overcast clouds
229,Annau,TM,37.89,58.52,72.9,38,0,4.61,clear sky
230,Raja,SS,8.46,25.68,68.67,87,89,6.93,overcast clouds
231,Elliot Lake,CA,46.38,-82.63,49.24,82,36,3.96,scattered clouds
232,Mauá,BR,-23.67,-46.46,59.36,97,5,1.95,clear sky
233,San Juan,AR,-31.54,-68.54,52.14,51,0,4.41,clear sky
234,Inverness,GB,57.48,-4.22,51.84,87,100,2.3,overcast clouds
235,Bocaiúva,BR,-17.11,-43.81,55.11,78,2,5.3,clear sky
236,Roald,NO,62.58,6.13,45.75,93,32,6.91,scattered clouds
237,Doha,QA,25.29,51.53,85.98,61,0,2.3,clear sky
238,Mīnāb,IR,27.15,57.08,88.75,28,0,3.91,clear sky
239,Sisimiut,GL,66.94,-53.67,41.83,51,0,16.98,clear sky
240,Yanam,IN,16.73,82.22,84.61,85,98,2.35,overcast clouds
241,San Andrés,CO,12.58,-81.70,84.22,79,100,5.75,overcast clouds
242,Bereda,ES,43.27,-7.54,56.57,77,100,3.02,overcast clouds
243,Vigrestad,NO,58.57,5.70,49.96,80,42,6.4,scattered clouds
244,Itarema,BR,-2.92,-39.92,75.15,89,100,9.1,overcast clouds
245,Ignatovka,RU,53.95,47.65,56.21,95,100,4.7,overcast clouds
246,Sierpc,PL,52.86,19.67,53.94,91,73,7.87,broken clouds
247,Ouango,CF,4.31,22.56,68.92,99,100,2.55,overcast clouds
248,Sumter,US,28.71,-82.08,81.09,84,60,4.38,broken clouds
249,Hlatikulu,SZ,-26.97,31.32,50.58,90,99,1.97,overcast clouds
250,Gaza,PS,31.50,34.47,66.88,79,0,3.6,clear sky
251,Surgut,RU,61.25,73.42,42.98,81,0,7.0,clear sky
252,Tarko-Sale,RU,64.92,77.78,38.59,49,100,4.92,overcast clouds
253,Cabo Rojo,PR,18.09,-67.15,81.88,78,64,11.48,broken clouds
254,Oshawa,CA,43.90,-78.85,64.69,49,100,2.3,overcast clouds
255,Valparaíso,CL,-33.04,-71.63,55.47,83,0,2.3,clear sky
256,Teguise,ES,29.06,-13.56,64.62,68,40,14.97,scattered clouds
257,Adré,TD,13.47,22.20,79.5,18,96,4.14,overcast clouds
258,Yarkovo,RU,57.40,67.08,55.22,56,99,3.38,overcast clouds
259,Mouzourás,GR,35.53,24.15,71.6,78,0,0.0,clear sky
260,Provincia di Savona,IT,44.30,8.27,68.97,90,40,2.37,scattered clouds
261,Youghal,IE,51.95,-7.85,53.1,100,100,5.46,overcast clouds
262,Slovenske Konjice,SI,46.34,15.43,66.76,91,81,6.04,broken clouds
263,Kavaratti,IN,10.57,72.64,82.18,77,100,10.71,overcast clouds
264,Bengkulu,ID,-3.80,102.27,79.65,75,100,2.71,overcast clouds
265,Qarqīn,AF,37.42,66.04,82.24,17,0,3.09,clear sky
266,Sekoma,BW,-24.40,23.88,52.14,43,100,11.32,overcast clouds
267,Grindavik,IS,63.84,-22.43,44.55,65,75,14.97,broken clouds
268,Turochak,RU,52.26,87.12,46.51,92,100,5.19,overcast clouds
269,Bonavista,CA,48.65,-53.11,42.37,71,98,17.05,overcast clouds
270,Aguçadoura,PT,41.43,-8.78,60.24,84,98,2.06,overcast clouds
271,Sept-Îles,CA,50.20,-66.38,49.05,80,13,4.36,few clouds
272,Marsá Maţrūḩ,EG,31.35,27.25,71.24,86,0,7.05,clear sky
273,Abhā,SA,18.22,42.51,59.25,55,0,0.0,clear sky
274,Baracoa,CU,20.35,-74.50,79.39,81,100,4.36,overcast clouds
275,Boa Vista,BR,2.82,-60.67,78.78,78,75,4.61,broken clouds
276,Iquitos,PE,-3.75,-73.25,77.04,94,40,2.3,moderate rain
277,Grand Baie,MU,-20.02,57.58,72.07,79,44,4.0,scattered clouds
278,Santa Isabel,BR,-23.32,-46.22,59.76,92,2,2.42,clear sky
279,Barra Patuca,HN,15.80,-84.28,79.2,86,100,2.66,overcast clouds
280,Saldanha,ZA,-33.01,17.94,51.85,36,0,7.38,clear sky
281,Leshukonskoye,RU,64.90,45.76,55.17,80,27,3.87,scattered clouds
282,Dilla,ET,6.41,38.31,61.7,90,96,3.38,light rain
283,Staryy Nadym,RU,65.61,72.68,40.82,53,20,8.75,few clouds
284,Jalu,LY,29.03,21.55,78.06,42,0,9.17,clear sky
285,Khairpur,PK,27.53,68.76,84.2,24,0,9.95,clear sky
286,Dalvik,IS,65.97,-18.53,42.73,65,35,10.63,scattered clouds
287,Hambantota,LK,6.12,81.12,79.66,82,100,17.45,overcast clouds
288,Umm Bāb,QA,25.21,50.81,85.08,42,0,1.19,clear sky
289,Antofagasta,CL,-23.65,-70.40,58.28,84,10,3.24,clear sky
290,Brandon,US,27.94,-82.29,82.85,84,100,5.99,overcast clouds
291,Takoradze,GH,4.88,-1.76,76.57,89,98,7.78,light rain
292,Tromsø,NO,69.65,18.96,41.02,81,75,12.66,broken clouds
293,Zharkent,KZ,44.16,80.00,71.44,33,0,8.1,clear sky
294,Langarūd,IR,37.20,50.15,75.29,56,12,3.76,few clouds
295,Salme,NP,28.04,85.09,66.49,56,97,3.27,overcast clouds
296,Gao,ML,16.64,1.64,88.36,17,0,8.25,clear sky
297,Varhaug,NO,58.61,5.65,49.89,82,51,7.0,broken clouds
298,Paamiut,GL,61.99,-49.67,40.35,78,0,6.8,clear sky
